userID,subscribers,videoviews,channeltype,grade,MonthlyEarnings,YearlyEarnings
TheTalko,7077426,2928737736,Entertainment,A-,€12.3K - €197K,€147.8K - €2.4M
Boram Tube ToysReview [????…,10173821,2922500094,People,A+,€120.5K - €1.9M,€1.4M - €23.1M
Awakening Music,6941657,2910818209,Music,A-,€14.2K - €227.7K,€170.8K - €2.7M
Preston,9037082,2902234984,Games,A,€14K - €224.2K,€168.1K - €2.7M
ItsFunneh,4056224,2899335560,Games,A,€35.5K - €568.5K,€426.4K - €6.8M
OHA diyorum!,5199283,2896959274,Entertainment,B+,€8.8K - €141.2K,€105.9K - €1.7M
TeluguOne,4922491,2893083077,People,A,€17.6K - €281.9K,€211.4K - €3.4M
DIEN QUAN Comedy / Hài,4259467,2891947538,Entertainment,A-,€11.5K - €184.1K,€138.1K - €2.2M
Kurt Hugo Schneider,11331174,2888593446,Entertainment,B+,€5.8K - €92.5K,€69.4K - €1.1M
Peppa Pig - Official Channel,7639433,2887185176,Film,A,€39.1K - €625.4K,€469K - €7.5M
jesseyjoyoficial,5131992,2877166931,Music,B+,€9.5K - €151.3K,€113.5K - €1.8M
THVL Gi?i Trí,3184874,2873254000,Entertainment,A,€15.3K - €244.4K,€183.3K - €2.9M
AmusementForce,4393368,2872404919,People,A,€23.4K - €374K,€280.5K - €4.5M
??????TV????…,3077033,2870820434,Entertainment,A-,€15.6K - €249.2K,€186.9K - €3M
icanrockyourworld,5291011,2864467363,Film,A-,€14.5K - €231.5K,€173.7K - €2.8M
MK MUSIC,6838093,2860343317,Music,A,€25.7K - €411.5K,€308.6K - €4.9M
whinderssonnunes,35123697,2858803818,Comedy,B+,€9.5K - €152.4K,€114.3K - €1.8M
marcanthonyVEVO,2626289,2858160435,Music,A-,€12.3K - €197.4K,€148.1K - €2.4M
emimusic,7450759,2849504784,Music,B+,€8.2K - €131.6K,€98.7K - €1.6M
Patati Patatá,4212020,2847373443,Music,A,€19.6K - €313.8K,€235.4K - €3.8M
GMA Public Affairs,4634035,2844144471,Entertainment,A,€44.3K - €708.7K,€531.5K - €8.5M
